06-20 12:11:13.372   525  1913 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity bnds=[439,958][640,1270]} from uid 10137
06-20 12:11:13.503   525   554 I ActivityManager: Start proc 3884:com.DefaultCompany.MopubTest/u0a154 for pre-top-activity {com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity}
06-20 12:12:43.506  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:43.506  3884  3997 I Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:345)
06-20 12:12:43.506  3884  3997 I Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/PackageCac
06-20 12:12:43.517  3884  3884 I Unity   : onPause
06-20 12:12:43.535  3884  3997 D Unity   : Vulkan PSO: data extracted [new size=86755, old size=86755, incomplete=0]
06-20 12:12:43.535  3884  3997 D Unity   : Vulkan PSO: Pipeline cache has not changed skipping save handle[b502e580]
06-20 12:12:43.544  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:12:43.570  3884  3884 D Unity   : onActivityResumed: com.mopub.mobileads.MoPubFullscreenActivity@47163f7
06-20 12:12:43.732  3884  3884 I Unity   : windowFocusChanged: false
06-20 12:12:44.139  3884  3884 D Unity   : PersistentUnitySurface.preserveContent: android.view.SurfaceView{d9f0b7 VFE...... .F....I. 0,0-1080,2340 #7f0800e1 app:id/unitySurfaceView aid=1073741824}
06-20 12:12:44.139  3884  3884 D Unity   : PlacerHoler view already exists
06-20 12:12:44.139  3884  3997 D Unity   : SetWindow 0 0x0
06-20 12:12:44.711  3884  3884 D Unity   : onActivityResumed: com.unity3d.player.UnityPlayerActivity@adb7ff3
06-20 12:12:44.711  3884  3884 I Unity   : onResume
06-20 12:12:44.736  3884  3997 D Unity   : SetWindow 0 0xe6d68ef8
06-20 12:12:44.737  3884  3997 D Unity   : SetWindow 0 0xe6d68ef8
06-20 12:12:44.824  3884  3884 I Unity   : windowFocusChanged: true
06-20 12:12:44.824  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d68ef8, 0)
06-20 12:12:44.838  3884  3997 D Unity   : InitializeOrResetSwapChain 1080x2340 hdr=0 samples=0
06-20 12:12:45.012  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:12:45.025  3884  3997 D Unity   : Choreographer available: Enabling VSYNC timing
06-20 12:12:45.078  3884  3997 I Unity   : [MoPub-Unity] [EmitInterstitialShownEvent] Ad shown
06-20 12:12:45.078  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:45.078  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:45.078  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:45.078  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:45.078  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:45.078  3884  3997 I Unity   : MoPubManager:EmitInterstitialShownEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:497)
06-20 12:12:45.078  3884  3997 I Unity   :  
06-20 12:12:45.078  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:45.078  3884  3997 I Unity   : 
